Class,PAX,Description,Group,Display Order
SS,0.859,Super Stock,Stock,1
AS,0.847,A Stock,Stock,2
BS,0.845,B Stock,Stock,3
CS,0.834,C Stock,Stock,4
DS,0.826,D Stock,Stock,5
ES,0.828,E Stock,Stock,6
FS,0.83,F Stock,Stock,7
GS,0.816,G Stock,Stock,8
HS,0.804,H Stock,Stock,9
STF,0.7945,Street Touring FWD,Touring,10
STC,0.824,Street Touring C,Touring,11
STS,0.829,Street Touring S,Touring,12
STR,0.839,Street Touring R,Touring,13
STX,0.827,Street Touring X,Touring,14
STU,0.846,Street Touring U,Touring,15
SM,0.867,Street Modified,Street Modified,16
SMF,0.852,Street Modified F,Street Modified,17
SSM,0.881,Super Street Modified,Street Modified,18
SSP,0.871,S Street Prepared,Street Prepared,19
ASP,0.866,A Street Prepared,Street Prepared,20
BSP,0.858,B Street Prepared,Street Prepared,21
CSP,0.861,C Street Prepared,Street Prepared,22
DSP,0.855,D Street Prepared,Street Prepared,23
ESP,0.849,E Street Prepared,Street Prepared,24
FSP,0.838,F Street Prepared,Street Prepared,25
XP,0.901,X Prepared,Prepared,26
BP,0.878,B Prepared,Prepared,27
CP,0.862,C Prepared,Prepared,28
DP,0.874,D Prepared,Prepared,29
EP,0.875,E Prepared,Prepared,30
FP,0.877,F Prepared,Prepared,31
GP,0.85,G Prepared,Prepared,32
AM,1,A Modified,Modified,33
BM,0.962,B Modified,Modified,34
CM,0.91,C Modified,Modified,35
DM,0.918,D Modified,Modified,36
EM,0.928,E Modified,Modified,37
FM,0.917,F Modified,Modified,38
FSAE,0.989,Formula SAE,Formula,39
TSS,0.837525,Super Stock,Stock,40
TAS,0.825825,A Stock,Stock,41
TBS,0.823875,B Stock,Stock,42
TCS,0.81315,C Stock,Stock,43
TDS,0.80535,D Stock,Stock,44
TES,0.8073,E Stock,Stock,45
TFS,0.80925,F Stock,Stock,46
TGS,0.7956,G Stock,Stock,47
THS,0.7839,H Stock,Stock,48
TSM,0.845325,Street Modified,Street Modified,49
TSMF,0.8307,Street Modified F,Street Modified,50
TSSM,0.858975,Super Street Modified,Street Modified,51
TSSP,0.849225,S Street Prepared,Street Prepared,52
TASP,0.84435,A Street Prepared,Street Prepared,53
TBSP,0.83655,B Street Prepared,Street Prepared,54
TCSP,0.839475,C Street Prepared,Street Prepared,55
TDSP,0.833625,D Street Prepared,Street Prepared,56
TESP,0.827775,E Street Prepared,Street Prepared,57
TFSP,0.81705,F Street Prepared,Street Prepared,58
TXP,0.878475,X Prepared,Prepared,59
TBP,0.85605,B Prepared,Prepared,60
TCP,0.84045,C Prepared,Prepared,61
TDP,0.85215,D Prepared,Prepared,62
TEP,0.853125,E Prepared,Prepared,63
TFP,0.855075,F Prepared,Prepared,64
TGP,0.82875,G Prepared,Prepared,65
TAM,0.975,A Modified,Modified,66
TBM,0.93795,B Modified,Modified,67
TCM,0.88725,C Modified,Modified,68
TDM,0.89505,D Modified,Modified,69
TEM,0.9048,E Modified,Modified,70
TFM,0.894075,F Modified,Modified,71
TFSAE,0.964275,Formula SAE,Formula,72
UNK1,0.8,Unknown1,Unknown1,73
UNK2,0.8,Unknown2,Unknown2,74
UNK3,0.8,Unknown3,Unknown3,75
AWD,1,All Wheel Drive,All Wheel Drive,76
FWD,1,Front Wheel Drive,Front Wheel Drive,77
RWD,1,Rear Wheel Drive,Rear Wheel Drive,78
2WD,1,Two Wheel Drive,Two Wheel Drive,79
4WD,1,Four Wheel Drive,Four Wheel Drive,80
OPAX,1,Open PAX class,Open PAX class,81
LPAX,1,Ladies PAX class,Ladies PAX class,82
RTF,1,Road Tire FWD,Road Tire FWD,83
RTR,1,Road Tire RWD,Road Tire RWD,84
RTA,1,Road Tire AWD,Road Tire AWD,85
STOCK,1,Stock classes,Stock classes,86
STOUR,1,Street Touring classes,Street Touring classes,87
SPREP,1,Street prepared classes,Street prepared classes,88
SMOD,1,Street Modified classes,Street Modified classes,89
PREP,1,Prepared classes,Prepared classes,90
MOD,1,Modified classes,Modified classes,91
STSTOCK,1,Stock street tire classes,Stock street tire classes,92
STOTHER,1,Street Tire Other classes,Street Tire Other classes,93
STINDEX,1,Street Tire Index,Street Tire Index,94
GROUP1,1,All stock classes,Stock classes,95
GROUP2,1,All Street Prepared classes,Street Prepared classes,96
GROUP3,1,All prepared and modified classes,Prepared and Modified classes,97
GROUP4,1,All Street Touring classes,Street Touring classes,98
GROUP5,1,SM/SSM/SMF,SS/SSM/SMF classes,99
GROUP6,1,Ladies class,Ladies class,100
GROUP7,1,Street Tire Index class,Street Tire Index class,101
RAW,1,RAW team,RAW Team,102
PAX,1,PAX Team,PAX Team,103
