Class,PAX,Description,Group,Display Order
SS,0.835,Super Stock Street,Stock,1
AS,0.829,A Stock Street,Stock,2
BS,0.826,B Stock Street,Stock,3
CS,0.814,C Stock Street,Stock,4
DS,0.812,D Stock Street,Stock,5
ES,0.808,E Stock Street,Stock,6
FS,0.81,F Stock Street,Stock,7
GS,0.806,G Stock Street,Stock,8
HS,0.796,H Stock Street,Stock,9
SSR,0.859,Super Stock Race,Stock,10
STF,0.801,Street Touring FWD,Touring,11
STS,0.828,Street Touring S,Touring,12
STR,0.838,Street Touring R,Touring,13
STX,0.831,Street Touring X,Touring,14
STU,0.844,Street Touring U,Touring,15
SM,0.87,Street Modified,Street Modified,16
SMF,0.853,Street Modified F,Street Modified,17
SSM,0.882,Super Street Modified,Street Modified,18
SSP,0.871,S Street Prepared,Street Prepared,19
ASP,0.865,A Street Prepared,Street Prepared,20
BSP,0.863,B Street Prepared,Street Prepared,21
CSP,0.861,C Street Prepared,Street Prepared,22
DSP,0.854,D Street Prepared,Street Prepared,23
ESP,0.849,E Street Prepared,Street Prepared,24
FSP,0.84,F Street Prepared,Street Prepared,25
XP,0.905,X Prepared,Prepared,26
BP,0.881,B Prepared,Prepared,27
CP,0.864,C Prepared,Prepared,28
DP,0.879,D Prepared,Prepared,29
EP,0.874,E Prepared,Prepared,30
FP,0.88,F Prepared,Prepared,31
AM,1,A Modified,Modified,32
BM,0.964,B Modified,Modified,33
CM,0.919,C Modified,Modified,34
DM,0.918,D Modified,Modified,35
EM,0.922,E Modified,Modified,36
FM,0.926,F Modified,Modified,37
FSAE,0.984,Formula SAE,Formula,38
CAM-C,0.83,Classic American Muscle Contemporary,CAM,39
CAM-T,0.825,Classic American Muscle Traditional,CAM,40
CAM-S,0.836,Classic American Muscle Sports,CAM,41
SSL,0.835,Super Street,Stock,42
ASL,0.829,A Street,Stock,43
BSL,0.826,B Street,Stock,44
CSL,0.814,C Street,Stock,45
DSK,0.812,D Street,Stock,46
ESL,0.808,E Street,Stock,47
FSL,0.81,F Street,Stock,48
GSL,0.806,G Street,Stock,49
HSL,0.796,H Street,Stock,50
SSRL,0.859,Super Stock Race,Stock,51
STFL,0.801,Street Touring FWD,Touring,52
STSL,0.828,Street Touring S,Touring,53
STRL,0.838,Street Touring R,Touring,54
STXL,0.831,Street Touring X,Touring,55
STUL,0.844,Street Touring U,Touring,56
SML,0.87,Street Modified,Street Modified,57
SMFL,0.853,Street Modified F,Street Modified,58
SSML,0.882,Super Street Modified,Street Modified,59
SSPL,0.871,S Street Prepared,Street Prepared,60
ASPL,0.865,A Street Prepared,Street Prepared,61
BSPL,0.863,B Street Prepared,Street Prepared,62
CSPL,0.861,C Street Prepared,Street Prepared,63
DSPL,0.854,D Street Prepared,Street Prepared,64
ESPL,0.849,E Street Prepared,Street Prepared,65
FSPL,0.84,F Street Prepared,Street Prepared,66
XPL,0.905,X Prepared,Prepared,67
BPL,0.881,B Prepared,Prepared,68
CPL,0.864,C Prepared,Prepared,69
DPL,0.879,D Prepared,Prepared,70
EPL,0.874,E Prepared,Prepared,71
FPL,0.88,F Prepared,Prepared,72
AML,1,A Modified,Modified,73
BML,0.964,B Modified,Modified,74
CML,0.919,C Modified,Modified,75
DML,0.918,D Modified,Modified,76
EML,0.922,E Modified,Modified,77
FML,0.926,F Modified,Modified,78
FSAEL,0.984,Formula SAE,Formula,79
CAM-CL,0.83,Classic American Muscle Contemporary,CAM,80
CAM-TL,0.825,Classic American Muscle Traditional,CAM,81
CAM-SL,0.836,Classic American Muscle Sports,CAM,82
TSM,0.84825,Street Modified,Street Modified,83
TSMF,0.831675,Street Modified F,Street Modified,84
TSSM,0.85995,Super Street Modified,Street Modified,85
TSSP,0.849225,S Street Prepared,Street Prepared,86
TASP,0.843375,A Street Prepared,Street Prepared,87
TBSP,0.841425,B Street Prepared,Street Prepared,88
TCSP,0.839475,C Street Prepared,Street Prepared,89
TDSP,0.83265,D Street Prepared,Street Prepared,90
TESP,0.827775,E Street Prepared,Street Prepared,91
TFSP,0.819,F Street Prepared,Street Prepared,92
TXP,0.882375,X Prepared,Prepared,93
TBP,0.858975,B Prepared,Prepared,94
TCP,0.8424,C Prepared,Prepared,95
TDP,0.857025,D Prepared,Prepared,96
TEP,0.85215,E Prepared,Prepared,97
TFP,0.858,F Prepared,Prepared,98
TAM,0.975,A Modified,Modified,99
TBM,0.9399,B Modified,Modified,100
TCM,0.896025,C Modified,Modified,101
TDM,0.89505,D Modified,Modified,102
TEM,0.89895,E Modified,Modified,103
TFM,0.90285,F Modified,Modified,104
UNK1,0.8,Unknown1,Unknown1,105
AWD,1,All Wheel Drive,All Wheel Drive,106
FWD,1,Front Wheel Drive,Front Wheel Drive,107
RWD,1,Rear Wheel Drive,Rear Wheel Drive,108
AWDSTUD,1,All Wheel Drive Studded,All Wheel Drive Studded,109
FWDSTUD,1,Front Wheel Drive Studded,Front Wheel Drive Studded,110
RWDSTUD,1,Rear Wheel Drive Studded,Rear Wheel Drive Studded,111
2WD,1,Two Wheel Drive,Two Wheel Drive,112
4WD,1,Four Wheel Drive,Four Wheel Drive,113
OPAX,3,Open PAX class,Open PAX class,114
LPAX,1,Ladies PAX class,Ladies PAX class,115
RTF,1,Road Tire FWD,Road Tire FWD,116
RTR,1,Road Tire RWD,Road Tire RWD,117
RTA,1,Road Tire AWD,Road Tire AWD,118
STOCK,1,Stock classes,Stock classes,119
STOUR,1,Street Touring classes,Street Touring classes,120
SPREP,1,Street prepared classes,Street prepared classes,121
SMOD,1,Street Modified classes,Street Modified classes,122
PREP,1,Prepared classes,Prepared classes,123
MOD,1,Modified classes,Modified classes,124
STSTOCK,1,Stock street tire classes,Stock street tire classes,125
STOTHER,1,Street Tire Other classes,Street Tire Other classes,126
STINDEX,1,Street Tire Index,Street Tire Index,127
GROUP1,1,All stock classes,Stock classes,128
GROUP2,1,All Street Prepared classes,Street Prepared classes,129
GROUP3,1,All prepared and modified classes,Prepared and Modified classes,130
GROUP4,1,All Street Touring classes,Street Touring classes,131
GROUP5,1,SM/SSM/SMF,SS/SSM/SMF classes,132
GROUP6,1,Ladies class,Ladies class,133
GROUP7,1,Street Tire Index class,Street Tire Index class,134
RAW,1,RAW team,RAW Team,135
PAX,1,PAX Team,PAX Team,136
Novice,1,Novice drivers,Novice,137
Open Pax,3,Open PAX group,Open PAX class,138
Road,1,Road tire group,Road tire group,139
Race,1,Race tire group,Race tire group,140
Touring,1,Street Touring group,Street Touring classes,141
Ladies,1,Ladies group,Ladies group,142
Stock,1,Stock group,Stock classes,143
STREET,1,All street classes,Street classes,144
