Class,PAX,Description,Group,Display Order
Road,1,Road tire group,Road tire group,156
Race,1,Race tire group,Race tire group,157
Touring,1,Street Touring group,Street Touring classes,158
Ladies,1,Ladies group,Ladies group,159
Stock,1,Stock group,Stock classes,160
N,1,Novice in Axeware,Novice,161
T,1,Touring in Axware,Touring,162
R,1,Road in Axeware,Road,163
H,1,Race in Axware,Race,164
X,1,OPAX in Axware,Open Pax,165
S,1,Stock in Axware,Stock,166
L,1,Ladies in Axware,Ladies,167
