Class,PAX,Description,Group,Display Order
SS,0.835,Super Stock Street,Street,1
AS,0.833,A Stock Street,Street,2
BS,0.826,B Stock Street,Street,3
CS,0.819,C Stock Street,Street,4
DS,0.811,D Stock Street,Street,5
ES,0.807,E Stock Street,Street,6
FS,0.814,F Stock Street,Street,7
GS,0.806,G Stock Street,Street,8
HS,0.798,H Stock Street,Street,9
HCS,0.817,Historic Classic Street,Street,10
HCR,0.838,Historic Classic Race,Street,11
SSR,0.86,Super Stock Race,Street,12
STF,0.809,Street Touring FWD,Touring,13
STS,0.832,Street Touring S,Touring,14
STR,0.841,Street Touring R,Touring,15
STX,0.836,Street Touring X,Touring,16
STU,0.845,Street Touring U,Touring,17
STP,0.837,Street Touting P,Touring,18
SM,0.87,Street Modified,Street Modified,19
SMF,0.861,Street Modified F,Street Modified,20
SSM,0.882,Super Street Modified,Street Modified,21
SSP,0.872,S Street Prepared,Street Prepared,22
ASP,0.865,A Street Prepared,Street Prepared,23
BSP,0.863,B Street Prepared,Street Prepared,24
CSP,0.867,C Street Prepared,Street Prepared,25
DSP,0.855,D Street Prepared,Street Prepared,26
ESP,0.852,E Street Prepared,Street Prepared,27
FSP,0.84,F Street Prepared,Street Prepared,28
XP,0.907,X Prepared,Prepared,29
BP,0.883,B Prepared,Prepared,30
CP,0.864,C Prepared,Prepared,31
DP,0.879,D Prepared,Prepared,32
EP,0.871,E Prepared,Prepared,33
FP,0.88,F Prepared,Prepared,34
AM,1,A Modified,Modified,35
BM,0.966,B Modified,Modified,36
CM,0.916,C Modified,Modified,37
DM,0.919,D Modified,Modified,38
EM,0.92,E Modified,Modified,39
FM,0.926,F Modified,Modified,40
FSAE,0.982,Formula SAE,Formula,41
CAM-C,0.839,Classic American Muscle Contemporary,CAM,42
CAM-T,0.834,Classic American Muscle Traditional,CAM,43
CAM-S,0.848,Classic American Muscle Sports,CAM,44
SSL,0.835,Super Street,Street,45
ASL,0.833,A Street,Street,46
BSL,0.826,B Street,Street,47
CSL,0.819,C Street,Street,48
DSK,0.811,D Street,Street,49
ESL,0.807,E Street,Street,50
FSL,0.814,F Street,Street,51
GSL,0.806,G Street,Street,52
HSL,0.798,H Street,Street,53
HCSL,0.817,Historic Classic Street,Street,54
HCRL,0.838,Historic Classic Race,Street,55
SSRL,0.86,Super Stock Race,Stock,56
