Class,PAX,Description,Group,Display Order
SS,0.817,Super Street,Street,1
AS,0.814,A Street,Street,2
BS,0.808,B Street,Street,3
CS,0.805,C Street,Street,4
DS,0.794,D Street,Street,5
ES,0.787,E Street,Street,6
FS,0.797,F Street,Street,7
GS,0.786,G Street,Street,8
HS,0.781,H Street,Street,9
HCS,0.791,Historic Classic Street,Street,10
HCR,0.812,Historic Classic Race,Street,11
SSR,0.838,Super Stock Race,Street,12
STH,0.811,Street Touring FWD,Touring,13
SSC,0.806,Solo Spec Coupe,Touring,14
STS,0.81,Street Touring S,Touring,15
STR,0.823,Street Touring R,Touring,16
STX,0.813,Street Touring X,Touring,17
STU,0.824,Street Touring U,Touring,18
STP,0.815,Street Touting P,Touring,19
SM,0.853,Street Modified,Street Modified,20
SMF,0.839,Street Modified F,Street Modified,21
SSM,0.871,Super Street Modified,Street Modified,22
SSP,0.852,Super Street Prepared,Street Prepared,23
ASP,0.848,A Street Prepared,Street Prepared,24
BSP,0.846,B Street Prepared,Street Prepared,25
CSP,0.857,C Street Prepared,Street Prepared,26
DSP,0.835,D Street Prepared,Street Prepared,27
ESP,0.828,E Street Prepared,Street Prepared,28
FSP,0.819,F Street Prepared,Street Prepared,29
XP,0.884,X Prepared,Prepared,30
BP,0.86,B Prepared,Prepared,31
CP,0.847,C Prepared,Prepared,32
DP,0.858,D Prepared,Prepared,33
EP,0.85,E Prepared,Prepared,34
FP,0.863,F Prepared,Prepared,35
AM,1,A Modified,Modified,36
BM,0.956,B Modified,Modified,37
CM,0.89,C Modified,Modified,38
DM,0.895,D Modified,Modified,39
EM,0.894,E Modified,Modified,40
FM,0.904,F Modified,Modified,41
FSAE,0.958,Formula SAE,Formula,42
CAM-C,0.816,Classic American Muscle Contemporary,CAM,43
CAM-T,0.807,Classic American Muscle Traditional,CAM,44
CAM-S,0.831,Classic American Muscle Sports,CAM,45
SSL,0.817,Super Street,Street,46
ASL,0.814,A Street,Street,47
BSL,0.808,B Street,Street,48
CSL,0.805,C Street,Street,49
DSL,0.794,D Street,Street,50
ESL,0.787,E Street,Street,51
FSL,0.797,F Street,Street,52
GSL,0.786,G Street,Street,53
HSL,0.781,H Street,Street,54
HCSL,0.791,Historic Classic Street,Street,55
HCRL,0.812,Historic Classic Race,Street,56
SSRL,0.838,Super Stock Race,Stock,57
STHL,0.811,Street Touring FWD,Touring,58
SSCL,0.806,Spec Scion Class,Touring,59
STSL,0.81,Street Touring S,Touring,60
STRL,0.823,Street Touring R,Touring,61
STXL,0.813,Street Touring X,Touring,62
STUL,0.824,Street Touring U,Touring,63
STPL,0.815,Street Touting P,Touring,64
SML,0.853,Street Modified,Street Modified,65
SMFL,0.839,Street Modified F,Street Modified,66
SSML,0.871,Super Street Modified,Street Modified,67
SSPL,0.852,S Street Prepared,Street Prepared,68
ASPL,0.848,A Street Prepared,Street Prepared,69
BSPL,0.846,B Street Prepared,Street Prepared,70
CSPL,0.857,C Street Prepared,Street Prepared,71
DSPL,0.835,D Street Prepared,Street Prepared,72
ESPL,0.828,E Street Prepared,Street Prepared,73
FSPL,0.819,F Street Prepared,Street Prepared,74
XPL,0.884,X Prepared,Prepared,75
BPL,0.86,B Prepared,Prepared,76
CPL,0.847,C Prepared,Prepared,77
DPL,0.858,D Prepared,Prepared,78
EPL,0.85,E Prepared,Prepared,79
FPL,0.863,F Prepared,Prepared,80
AML,1,A Modified,Modified,81
BML,0.956,B Modified,Modified,82
CML,0.89,C Modified,Modified,83
DML,0.895,D Modified,Modified,84
EML,0.894,E Modified,Modified,85
FML,0.904,F Modified,Modified,86
FSAEL,0.958,Formula SAE,Formula,87
CAM-CL,0.816,Classic American Muscle Contemporary,CAM,88
CAM-TL,0.807,Classic American Muscle Traditional,CAM,89
CAM-SL,0.831,Classic American Muscle Sports,CAM,90
UNK,0.8,Unknown,Unknown,91
AWD,1,All Wheel Drive,All Wheel Drive,92
FWD,1,Front Wheel Drive,Front Wheel Drive,93
RWD,1,Rear Wheel Drive,Rear Wheel Drive,94
AWDSTUD,1,All Wheel Drive Studded,All Wheel Drive Studded,95
FWDSTUD,1,Front Wheel Drive Studded,Front Wheel Drive Studded,96
RWDSTUD,1,Rear Wheel Drive Studded,Rear Wheel Drive Studded,97
2WD,1,Two Wheel Drive,Two Wheel Drive,98
4WD,1,Four Wheel Drive,Four Wheel Drive,99
OPAX,3,Open PAX class,Open PAX class,100
LPAX,1,Ladies PAX class,Ladies PAX class,101
RTF,1,Road Tire FWD,Road Tire FWD,102
RTR,1,Road Tire RWD,Road Tire RWD,103
RTA,1,Road Tire AWD,Road Tire AWD,104
STREET,1,Street classes,Street classes,105
STOUR,1,Street Touring classes,Street Touring classes,106
SPREP,1,Street prepared classes,Street prepared classes,107
SMOD,1,Street Modified classes,Street Modified classes,108
PREP,1,Prepared classes,Prepared classes,109
MOD,1,Modified classes,Modified classes,110
RAW,1,RAW team,RAW Team,111
PAX,1,PAX Team,PAX Team,112
Novice,1,Novice drivers,Novice,113
Open Pax,3,Open PAX group,Open PAX class,114
Road,1,Road tire group,Road tire group,115
Race,1,Race tire group,Race tire group,116
Touring,1,Street Touring group,Street Touring classes,117
Ladies,1,Ladies group,Ladies group,118
